Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,Latitude,Longitude,Nearby Hotels,Nearby Restaurants,Nearby Attractions,Nearby Shopping Centers
Northern,Rajasthan,Chittorgarh,Chittorgarh Fort,Fort,700,2,4.6,40,No,Open All Days,Historical,Yes,1.9,All,24.8839686,74.6473548,"['OYO 14427 Hotel RK Palace (Rating: 3.7, Reviews: 317, Address: WJ8F+HGP, rnb chittorgarh d.i.c office)', 'OYO 37736 Hotel Bhagyoday (Rating: 5, Reviews: 1, Address: 01, National Highway, 79, Udaipur-Chittorgarh Road, Shivpura, Chittorgarh)', 'होटल गौरव पैलेस (Rating: 3.7, Reviews: 75, Address: 184, Bundi Road, Sector1, Gandhi Nagar, Chittorgarh)']","['Chokhi Dhani Restaurent (Rating: 3.2, Reviews: 989, Address: bus stand, Naer roadways, Chittorgarh)', 'Mewari Handi Food Court (Rating: 4.3, Reviews: 312, Address: Railway Colony, Chittorgarh)', 'Hotel Jadav & Natraj Dinnig Hall (Rating: 4, Reviews: 200, Address: VJQM+7VW, Fort Road, Rana Sanga Bazar, Sector1, Gandhi Nagar, Chittorgarh)']","['Samadhisvara Mahadev Temple (Rating: 4.7, Reviews: 171, Address: VJPV+WRC, Chittorgarh Fort Village, Chittorgarh)', 'Chittorgarh Fort (Rating: 4.6, Reviews: 48516, Address: Chittorgarh)', 'Bhimlat Kund (Rating: 4.7, Reviews: 27, Address: VJJX+GFP, Chittorgarh)']","['Vaibhav and company (Rating: 4.4, Reviews: 9, Address: 122, New Cloth Market ,, Bundi Road, Chittorgarh)', 'Anand Super Market (Rating: 4.2, Reviews: 148, Address: Sector 4, Gandhi Nagar, Chittorgarh)', 'Kabra Brothers (Rating: 4.2, Reviews: 21, Address: VJQQ+RRM, Sadar Bazar Road, Chandan Pura, Chittorgarh)']"
Northern,Rajasthan,Mount Abu,Dilwara Temples,Temple,1100,1,4.6,0,No,Open All Days,Religious,No,0.05,All,24.609382,72.7229797,"['Hotel Oasis (Rating: 3.6, Reviews: 430, Address: near Polo Ground Road, Rajendra marg, Nakki Lake, Mount Abu)', ""Hotel Aradhana Mount Abu (Rating: 4, Reviews: 616, Address: Saint Mary's School Road, Mount Abu)"", 'The Colonial Manek Manor (Rating: 4.2, Reviews: 1810, Address: Manek Manor, Cross Road, Arbuda Devi, Mount Abu)']","['The Colonial Manek Manor (Rating: 4.2, Reviews: 1810, Address: Manek Manor, Cross Road, Arbuda Devi, Mount Abu)', ""Royale Palace (Rating: 4, Reviews: 852, Address: St. Mary's Road, Mount Abu)"", 'ABU Restaurant (Rating: 4.6, Reviews: 1138, Address: Taxi Stand, near Bank of Baroda, Main road, Mount Abu)']","['Mount Abu Adventures - trekking camping wildlife tour @ 1099 inr (Rating: 4.7, Reviews: 886, Address: pandav gufa, via kanya kumari temple, near dilwara jain temple parking, Mount Abu)', 'Brahma Kumaris meditation (Rating: 4.4, Reviews: 383, Address: HPV8+27J, Mount Abu)', 'Nakki Lake (Rating: 4.4, Reviews: 7089, Address: Mount Abu)']","['Odhana (Rating: 2.6, Reviews: 31, Address: HPR5+P34, Sani Gaon, Mount Abu)', 'Ambika Enterprise (Rating: 4.4, Reviews: 7, Address: HPV6+68G, Sani Gaon, Mount Abu)', 'Jaipur Jewellers (Rating: 4.3, Reviews: 3, Address: near maharaja hotel, Mount Abu)']"
Northern,Rajasthan,Bikaner,Junagarh Fort,Fort,1589,2,4.5,50,Yes,Open All Days,Historical,Yes,0.32,All,28.0219586,73.3179962,"['The Laxmi Niwas Palace (Rating: 4.5, Reviews: 3516, Address: Lal Garh Campus, The Laxmi Niwas Palace Road, Samta Nagar, Bikaner)', 'Hotel Sagar Bikaner (Rating: 4.1, Reviews: 3528, Address: Lalgarh Palace Campus, Sri Ganganagar Road, Bikaner)', 'Maharaja Ganga Mahal (Rating: 4.3, Reviews: 2371, Address: Ganga Niwas, Outside Public Park, Rathkhana Gate, Bikaner)']","['Hotel Sagar Bikaner (Rating: 4.1, Reviews: 3528, Address: Lalgarh Palace Campus, Sri Ganganagar Road, Bikaner)', 'Hotel Basant Vihar Palace (Rating: 4.4, Reviews: 2199, Address: Sri Ganganagar Road, Samta Nagar, Bikaner)', 'Heeralal Hotel (JNV Colony Branch) | Best Hotel In Bikaner (Rating: 4.1, Reviews: 2102, Address: Police Station, opposite to Vyas Colony, E-6, Kanta Khaturia Colony, Bikaner)']","['Junagarh Fort (Rating: 4.5, Reviews: 34034, Address: Bikaner)', 'Bikaji Ki Tekri (Rating: 4.3, Reviews: 599, Address: 2823+W4V, Hammalon Ki Bari, Bikaner)', 'Seth Bhandashah Jain Temple (Rating: 4.6, Reviews: 2256, Address: 2832+W82, Old Bikaner, Bikaner)']","['Spykar (Rating: 4.1, Reviews: 49, Address: near Mahila Jagriti Parishad School, Plot No 01, Panchshati Circle, Shradul Ganj, near Mahila Jagriti Parishad School, Shardul Ganj, Bikaner)', 'Moti Mahal Market (Rating: 4, Reviews: 54, Address: 2898+953, Mahatma Gandhi Road, Shardul Colony, Bikaner)', 'Dhatri Wordrobe Collection (Rating: 3.8, Reviews: 821, Address: Kothari hospital, Bikaner)']"
Northern,Rajasthan,Jaipur,Amber Fort,Fort,1592,2,4.6,100,Yes,Open All Days,Historical,Yes,1.5,All,26.9880088,75.861032,"['Trident Hotel Jaipur (Rating: 4.4, Reviews: 9813, Address: Amer Road, Jal Mahal, Amer, Jaipur)', 'Lebua Lodge Amber (Rating: 4.4, Reviews: 420, Address: Tehsil, Jaipur Kunda, NH-8, Amer, Jaipur)', 'Hotel Amer View (Rating: 4.1, Reviews: 739, Address: 53, Opposite Chhatriya, Amer, Jaipur)']","['Trident Hotel Jaipur (Rating: 4.4, Reviews: 9813, Address: Amer Road, Jal Mahal, Amer, Jaipur)', 'Indana Palace Jaipur (Rating: 4.4, Reviews: 3311, Address: Jaipur - Delhi Highway, Amer, Jaipur)', 'Rang Mahal Restaurant (Rating: 4.3, Reviews: 74, Address: Rang Mahal Restaurant, KK Royal Hotel, Delhi Road, Amer, Jaipur)']","['Kanak Vrindavan Mahal (Rating: 4.3, Reviews: 5779, Address: Jal Mahal, Amer, Jaipur)', 'Amber Palace (Rating: 4.6, Reviews: 164846, Address: Amer, Jaipur)', 'Jaigarh Fort (Rating: 4.5, Reviews: 29990, Address: Amer, Jaipur)']","['Meena Bazar (Rating: 2.9, Reviews: 28, Address: XVR8+9C4, near kk royal hotel, Amer, Jaipur)', 'Kashmir Craft Museum (Rating: N/A, Reviews: 0, Address: XVM8+HQM, Amer, Jaipur)', 'Amer Art And Craft Center (Rating: 3, Reviews: 7, Address: XVQ2+RVR, Amer, Jaipur)']"
Northern,Rajasthan,Jaipur,Jaigarh Fort,Fort,1726,1.5,4.5,35,Yes,Open All Days,Historical,Yes,0.3,All,26.9816052,75.8447917,"['Trident Hotel Jaipur (Rating: 4.4, Reviews: 9813, Address: Amer Road, Jal Mahal, Amer, Jaipur)', 'Hotel Royal View (Rating: 4.2, Reviews: 1620, Address: R-18, Ramgarhmode, Bibi Fatima Colony, Karbala, Jaipur)', 'Lebua Lodge Amber (Rating: 4.4, Reviews: 420, Address: Tehsil, Jaipur Kunda, NH-8, Amer, Jaipur)']","['Trident Hotel Jaipur (Rating: 4.4, Reviews: 9813, Address: Amer Road, Jal Mahal, Amer, Jaipur)', 'Hotel Cube Inn Jaipur (Rating: 3.6, Reviews: 119, Address: 17-18, Amber Road, Dussehra Kothi, Govind Nagar, Jaipur)', 'Café Coffee Day (Rating: 3.9, Reviews: 949, Address: & Man, Sri Krishna Service Station, inside Hpcl Sagar Lake, opposite Jal Mahal, Amer Road, Jaipur)']","['Kanak Vrindavan Mahal (Rating: 4.3, Reviews: 5779, Address: Jal Mahal, Amer, Jaipur)', 'Amber Palace (Rating: 4.6, Reviews: 164846, Address: Amer, Jaipur)', 'Jaigarh Fort (Rating: 4.5, Reviews: 29990, Address: Amer, Jaipur)']","['Rajasthan Handlooms Art And Jewellery (Rating: 2.1, Reviews: 21, Address: XRPX+RXJ, Unnamed Road, Devisinghpura, Amer, Jaipur)', 'Amer Art And Craft Center (Rating: 3, Reviews: 7, Address: XVQ2+RVR, Amer, Jaipur)', 'Ambedkar Marriage Garden Amber (Rating: 4, Reviews: 9, Address: XVG5+VV, Amer, Jaipur)']"
Northern,Rajasthan,Udaipur,Lake Pichola,Lake,1362,1,4.6,0,Yes,Open All Days,Nature,Yes,0.5,All,24.572,73.679,"['Taj Lake Palace, Udaipur (Rating: 4.8, Reviews: 7727, Address: Lake Pichola, Pichola, Udaipur)', 'Trident Hotel Udaipur (Rating: 4.5, Reviews: 3872, Address: near Pichola, Malla Talai Chowk, near Pichola, Trident Road, Haridas Ji Ki Magri, Udaipur)', 'Jaiwana Haveli - Lake Facing Hotel (Rating: 4.5, Reviews: 1589, Address: Near Jagdish mandir, 14, Lal Ghat Road, Udaipur)']","['Trident Hotel Udaipur (Rating: 4.5, Reviews: 3872, Address: near Pichola, Malla Talai Chowk, near Pichola, Trident Road, Haridas Ji Ki Magri, Udaipur)', 'Jaiwana Haveli - Lake Facing Hotel (Rating: 4.5, Reviews: 1589, Address: Near Jagdish mandir, 14, Lal Ghat Road, Udaipur)', 'Radiant Globus Hotels & Resorts (Rating: 3.9, Reviews: 2210, Address: Avenue 63rd, Sardarpura, Udaipur)']","['Jagmandir Island Palace (Rating: 4.4, Reviews: 9172, Address: Pichola, Udaipur)', 'Ahar Museum (Rating: 4.3, Reviews: 1770, Address: Main Road, Ganapati Nagar, Udaipur)', 'Pandit Deendayal Upadhyay Park (Rating: 4.3, Reviews: 702, Address: HM8M+MP4, Pichola, Udaipur)']","['Patanjali Mega Store (Rating: 4.9, Reviews: 1789, Address: inside Surajpole, 119, Udaipur)', 'सिटी सेंटर (Rating: 3.9, Reviews: 128, Address: near Umang Boutique, 116-B, Shakti Nagar Road, Shakti Nagar, Udaipur)', 'NB Mart (N.B Trading Company ) (Rating: 4.3, Reviews: 9, Address: 61, Krishi Upaj Mandi, Udaipur)']"
Northern,Punjab,Amritsar,Golden Temple (Harmandir Sahib),Religious Site,1604,1.5,4.9,0,Yes,Open All Days,Spiritual,Yes,1.9,All,31.6199803,74.8764849,"['Hotel Darbar View (Rating: 3.7, Reviews: 79, Address: JVCG+P4G, Bazar Mai Sewan, near Sri Harmandir Sahib, Amritsar)', 'Hyatt Regency Amritsar (Rating: 4.2, Reviews: 5804, Address: MBM Farms, Grand Trunk Road, Amritsar)', 'Regenta Place Amritsar (Rating: 4.1, Reviews: 3307, Address: 8, Grand Trunk Road, Model Town, Ram Bagh, Amritsar)']","['Best Western Merrion (Rating: 4.2, Reviews: 3388, Address: 45 District Shopping Complex, B - Block, Ranjit Avenue, Amritsar)', 'HK Clarks Inn (Rating: 4.1, Reviews: 1955, Address: District Shopping Complex, SU-14, B - Block, Ranjit Avenue, Amritsar)', ""Hotel Pearl Inn & Suites (Rating: 3.8, Reviews: 662, Address: Queen's Road, opp. Hotel Country Inn, 3-A, Hotel Lane, Amritsar)""]","['Sri Harmandir Sahib (Rating: 4.9, Reviews: 198103, Address: Amritsar)', 'Jallianwala Bagh (Rating: 4.6, Reviews: 96915, Address: Golden Temple Rd, Amritsar)', 'Sri Akal Takht Sahib (Rating: 4.8, Reviews: 1347, Address: Harmandir Sahib, Golden Temple Road, Atta Mandi, Katra Ahluwalia, Amritsar)']","['VR Ambarsar (Rating: 4.4, Reviews: 19016, Address: adjacent Nirankari Colony, Plot No. C, Circular Road, Medical Enclave, Amritsar)', 'Crockery shop (Rating: 2.6, Reviews: 11, Address: opp. backside gate of state bank of india, Inside Mahan singh gate, opp. backside gate of state bank of india, Pakki Gali, Amritsar)', 'Patanjali Mega Store (Rating: 3.9, Reviews: 145, Address: Surya Plaza, State Bank of Patiala Bldg, near Saheed Ganj Gurudwara, Amritsar-Tarn Taran Road, Amritsar)']"
Northern,Punjab,Amritsar,Jallianwala Bagh,Memorial,1951,1,4.8,0,Yes,Open All Days,Historical,Yes,0.3,Afternoon,31.6207396,74.8801655,"['Hotel Darbar View (Rating: 3.7, Reviews: 79, Address: JVCG+P4G, Bazar Mai Sewan, near Sri Harmandir Sahib, Amritsar)', 'Hyatt Regency Amritsar (Rating: 4.2, Reviews: 5804, Address: MBM Farms, Grand Trunk Road, Amritsar)', 'Regenta Place Amritsar (Rating: 4.1, Reviews: 3307, Address: 8, Grand Trunk Road, Model Town, Ram Bagh, Amritsar)']","['Best Western Merrion (Rating: 4.2, Reviews: 3388, Address: 45 District Shopping Complex, B - Block, Ranjit Avenue, Amritsar)', 'HK Clarks Inn (Rating: 4.1, Reviews: 1955, Address: District Shopping Complex, SU-14, B - Block, Ranjit Avenue, Amritsar)', ""Hotel Pearl Inn & Suites (Rating: 3.8, Reviews: 662, Address: Queen's Road, opp. Hotel Country Inn, 3-A, Hotel Lane, Amritsar)""]","['Sri Harmandir Sahib (Rating: 4.9, Reviews: 198103, Address: Amritsar)', 'Jallianwala Bagh (Rating: 4.6, Reviews: 96915, Address: Golden Temple Rd, Amritsar)', 'Sri Akal Takht Sahib (Rating: 4.8, Reviews: 1347, Address: Harmandir Sahib, Golden Temple Road, Atta Mandi, Katra Ahluwalia, Amritsar)']","['VR Ambarsar (Rating: 4.4, Reviews: 19016, Address: adjacent Nirankari Colony, Plot No. C, Circular Road, Medical Enclave, Amritsar)', 'SikhKaras.com Sikh Kara Store (Rating: 3.7, Reviews: 44, Address: 1902/16, Street, Amritsar)', 'Crockery shop (Rating: 2.6, Reviews: 11, Address: opp. backside gate of state bank of india, Inside Mahan singh gate, opp. backside gate of state bank of india, Pakki Gali, Amritsar)']"
Northern,Punjab,Amritsar,Wagah Border,Border Crossing,1950,2,4.8,0,Yes,Open All Days,Cultural,Yes,0.17,Evening,31.6339793,74.8722642,"['Hotel Darbar View (Rating: 3.7, Reviews: 79, Address: JVCG+P4G, Bazar Mai Sewan, near Sri Harmandir Sahib, Amritsar)', 'Hotel PR Residency, Amritsar (Rating: 3.8, Reviews: 1826, Address: 101 District Shopping Complex, B - Block, Ranjit Avenue, Amritsar)', 'Regenta Place Amritsar (Rating: 4.1, Reviews: 3307, Address: 8, Grand Trunk Road, Model Town, Ram Bagh, Amritsar)']","['Best Western Merrion (Rating: 4.2, Reviews: 3388, Address: 45 District Shopping Complex, B - Block, Ranjit Avenue, Amritsar)', 'HK Clarks Inn (Rating: 4.1, Reviews: 1955, Address: District Shopping Complex, SU-14, B - Block, Ranjit Avenue, Amritsar)', ""Hotel Pearl Inn & Suites (Rating: 3.8, Reviews: 662, Address: Queen's Road, opp. Hotel Country Inn, 3-A, Hotel Lane, Amritsar)""]","['Sri Harmandir Sahib (Rating: 4.9, Reviews: 198103, Address: Amritsar)', 'Jallianwala Bagh (Rating: 4.6, Reviews: 96915, Address: Golden Temple Rd, Amritsar)', 'Sri Akal Takht Sahib (Rating: 4.8, Reviews: 1347, Address: Harmandir Sahib, Golden Temple Road, Atta Mandi, Katra Ahluwalia, Amritsar)']","['VR Ambarsar (Rating: 4.4, Reviews: 19016, Address: adjacent Nirankari Colony, Plot No. C, Circular Road, Medical Enclave, Amritsar)', 'SikhKaras.com Sikh Kara Store (Rating: 3.7, Reviews: 44, Address: 1902/16, Street, Amritsar)', 'Patanjali Chikitsalay (Rating: 3.6, Reviews: 13, Address: Ground Floor, Durgiana Mandir Complex, Near Durgiana Mandir, Amritsar)']"
Northern,Punjab,Chandigarh,Rock Garden,Sculpture Garden,1976,2,4.5,30,Yes,Open All Days,Artistic,Yes,0.5,All,30.7529331,76.8050541,"['Hotel Oyster (Rating: 4, Reviews: 3122, Address: opp. Hotel Taj, SCO 1-2-3, opp. Hotel Taj, 17A, Sector 17, Chandigarh)', 'Taj Chandigarh (Rating: 4.4, Reviews: 9375, Address: No. 9, near Zakir Hussain Rose Garden, Sector 17A, 17A, Sector 17, Chandigarh)', 'OYO 8424 Hotel Sunflower (Rating: 3.2, Reviews: 233, Address: SCO No. 20, Nayagaon)']","['Subway (Rating: 4.3, Reviews: 1503, Address: Subway, SCO 41, Ground Floor, 19D, Chandigarh)', 'Score Lounge Bar Night Club (Rating: 4, Reviews: 1208, Address: 177-78, Madhya Marg, Sector 8C, Sector 26 East, Chandigarh)', 'KFC (Rating: 4.1, Reviews: 4906, Address: SCO 1 to 3, Madhya Marg, Sector 8C, Sector 8, Chandigarh)']","['Butterfly Park, 26 Chandigarh (Rating: 4.1, Reviews: 1700, Address: PRH6+R6J, Sector 26, Chandigarh)', 'Nek Chand’s Rock Garden of Chandigarh (Rating: 4.5, Reviews: 51099, Address: Uttar Marg, Rock Garden of Chandigarh, Sector 1, Chandigarh)', 'Capitol Complex Tourist Center (Rating: 4.5, Reviews: 1317, Address: HIGH COURT, Capitol Complex, सेक्टर 1, Chandigarh)']","['Suresh Kumar & Sons/ Weighing Scale Dealer, Electronic Scale, Heavy weigh measurement in Chandigarh (Rating: 4.6, Reviews: 9, Address: Grain Market, SCF 155, First Floor, Sector 26, Chandigarh)', 'Sky Lanterns (Rating: 3.3, Reviews: 4, Address: Sector 12, Chandigarh)', 'Toymart (Rating: 2.6, Reviews: 195, Address: Sco 1106-1107, Himalaya Marg, Sector 22C, Sector 21, Chandigarh)']"
Southern,Kerala,Alappuzha,Alappuzha Beach,Beach,Unknown,1.5,4.5,0,Yes,Open All Days,Recreational,Yes,0.11,All,9.4927464,76.3176931,"['Panoramic Sea Resort (Rating: 3.6, Reviews: 655, Address: Near Kadalpalam, Beach Road, Alappuzha)', 'Raheem Residency (Rating: 3.7, Reviews: 268, Address: Beach Road, Sea View Ward, Alappuzha)', 'Palm Beach Resort & Cafe by UTH (Rating: 3.6, Reviews: 534, Address: Sea View Ward, Alappuzha)']","['Panoramic Sea Resort (Rating: 3.6, Reviews: 655, Address: Near Kadalpalam, Beach Road, Alappuzha)', 'Sterling Lake Palace Alleppey (Rating: 4.4, Reviews: 5458, Address: Thirumala Ward, Chungam, Alappuzha)', 'Pagoda Resorts Alappuzha (Rating: 3.7, Reviews: 5390, Address: Chungam Road, Mullakkal, Alappuzha)']","['Indraprastham Lake Cruise (Rating: 4.9, Reviews: 200, Address: Finishing Point Road, Alappuzha)', 'Southern Panorama Cruises - Luxury Houseboats in Kerala (Rating: 4.7, Reviews: 3146, Address: Near HMCA Church Ward Avalookunnu, PO, Thathampally, Alappuzha)', 'Revi Karunakaran Memorial Museum (Rating: 4.2, Reviews: 1867, Address: near Power House Bridge, XVIII/990-A, near Power House Bridge, VCSB Road, Alappuzha)']","['Rajeesh Film Fixing & Etching sticker works (Rating: 4.8, Reviews: 24, Address: Kallupalam, Alappuzha, Kerala, Alappuzha)', 'Pulickattil Handicrafts (Rating: 4.4, Reviews: 158, Address: Boat Jetty Road, Alappuzha)', 'Panakkad Building (Rating: N/A, Reviews: 0, Address: Civil Station Ward, Alappuzha)']"
Southern,Kerala,Munnar,Munnar Tea Gardens,Scenic Area,Unknown,2,4.3,0,No,Open All Days,Nature,Yes,0.3,All,10.0284971,77.045631,"['Chandys Windy Woods 5 Star Resort Munnar (Rating: 4.7, Reviews: 2811, Address: Pallivasal, 2nd Mile, Meencut P.O, Chittiarpuram, Munnar)', 'Gruenberg Tea Plantation Haus (Rating: 4.4, Reviews: 433, Address: Power house Road, Dobipalam, Chithirapuram)', 'Tea Valley Resort (Rating: 4.3, Reviews: 2265, Address: Bisonvally Road, Pothamedu, Pallivasal, Munnar)']","['Swiss County Resort (Rating: 4.5, Reviews: 619, Address: Chithirapuram Powerhouse Road, Dobipalam)', 'Rivulet Resort | Luxury 4 Star Resorts in Munnar (Rating: 4.6, Reviews: 3574, Address: Power House, Chithirapuram Aluva, Aluva - Munnar Road, P O, Pallivasal)', 'Edens Resort Munnar (Rating: 4.5, Reviews: 863, Address: Muthuvankudy, Munnar)']","['Chandys Windy Woods 5 Star Resort Munnar (Rating: 4.7, Reviews: 2811, Address: Pallivasal, 2nd Mile, Meencut P.O, Chittiarpuram, Munnar)', 'Ramaswamy Aiyar Headworks Dam (Rating: 4.1, Reviews: 479, Address: 3398+6RQ, Moolakadai, Munnar)', 'Wonder Valley Adventure and Amusement Park (Rating: 4.2, Reviews: 7900, Address: No. 89, Anachal - Kunchithanny Road, P.O, Chithirapuram)']","['COOL GREEN STORES (Rating: 5, Reviews: 2, Address: 22HQ+XG6, Chithirapuram)', 'Sidhu Dream shop TEA SALES OUTLET (Rating: 4, Reviews: 222, Address: Aluva - Munnar Highway, Pallivasal)', 'MUNNAR FARM Spices And Ayurvedic Garden and SHOP (Rating: 3.9, Reviews: 340, Address: Munnar Bypass, Thokkupara)']"
Southern,Kerala,Kochi,Fort Kochi,Site,1503,1,4.4,0,Yes,Open All Days,Historical,Yes,0.1,All,9.9657787,76.2421147,"['Trident Hotel Cochin (Rating: 4.5, Reviews: 4180, Address: Bristow Road, Willingdon Island, Kochi)', 'Taj Malabar Resort & Spa, Cochin (Rating: 4.5, Reviews: 5906, Address: Indira Gandhi Road, Willingdon Island, Kochi)', 'Vivanta Ernakulam, Marine Drive (Rating: 4.3, Reviews: 9861, Address: Shanmugham Road, Marine Drive, Kochi)']","['Trident Hotel Cochin (Rating: 4.5, Reviews: 4180, Address: Bristow Road, Willingdon Island, Kochi)', 'Malabar Junction (Rating: 4.2, Reviews: 735, Address: 1/268-269, Parade Road, Kochi)', 'Hotel Bright Heritage- Fort Kochi (Rating: 4, Reviews: 583, Address: 1/508, A1,Tower Road,Fort Kochi, Tower Road, Fort, Kochi)']","['Bolgatty Palace and Island Resort (Rating: 4.3, Reviews: 11082, Address: National Highway 966A, Mulavukad, Kochi)', 'Mattancherry Palace (Rating: 4.2, Reviews: 17260, Address: X755+8P9, Mattancherry, Kochi)', 'Indian Naval Maritime Museum (Rating: 4.5, Reviews: 4424, Address: X65Q+9GX, K.J. Herschel Road, Kochi)']","['Pioneer Towers (Rating: 3.8, Reviews: 72, Address: Shanmugham Road, Marine Drive, Kochi)', 'Patanjali Chikitsalay (Rating: 3.8, Reviews: 66, Address: Krishna Prabhu Building, No 67/7351, Basin Road, Kochi)', 'Copier Point (Rating: 4.6, Reviews: 15, Address: 401708a, Teresa Ln, Convent Junction, Marine Drive, Ernakulam, Kerala 682011, Teresa Lane, Convent Junction, Marine Drive, Kochi)']"
Southern,Kerala,Thiruvananthapuram,Padmanabhaswamy Temple,Temple,Unknown,1,4.7,0,Yes,Open All Days,Religious,No,0.46,All,8.4827779,76.9435906,"['Hotel Residency Tower (Rating: 4.2, Reviews: 5834, Address: South Gate of Secretariat, Press Road, Thiruvananthapuram)', 'UDAY SUITES - THE GARDEN HOTEL (Rating: 4.4, Reviews: 5302, Address: T.C. 34, 757/3, Watts Lane, Shangumukham, Thiruvananthapuram)', 'Keys Select By Lemon Tree Hotels - Thiruvananthapuram (Rating: 3.9, Reviews: 3332, Address: Housing Board Junction, opposite Fire Brigade, Press Road, Thiruvananthapuram)']","['Hotel Residency Tower (Rating: 4.2, Reviews: 5834, Address: South Gate of Secretariat, Press Road, Thiruvananthapuram)', 'UDAY SUITES - THE GARDEN HOTEL (Rating: 4.4, Reviews: 5304, Address: T.C. 34, 757/3, Watts Lane, Shangumukham, Thiruvananthapuram)', 'Keys Select By Lemon Tree Hotels - Thiruvananthapuram (Rating: 3.9, Reviews: 3332, Address: Housing Board Junction, opposite Fire Brigade, Press Road, Thiruvananthapuram)']","['Napier Museum (Rating: 4.4, Reviews: 21929, Address: near Museum Junction, LMS Vellayambalam Road, Kanaka Nagar, Nanthancodu, Thiruvananthapuram)', 'Sree Padmanabhaswamy Temple (Rating: 4.7, Reviews: 52327, Address: West Nada, East Fort, Pazhavangadi, Thiruvananthapuram)', 'Akbar Travels of India Pvt Ltd - Trivandrum (Rating: 4.6, Reviews: 1474, Address: Our Towers, Vellayambalam, Thiruvananthapuram)']","['Attukal Shopping Complex (Rating: 3.7, Reviews: 3884, Address: Near Lord Sree Padmanabhaswamy Temple, Tc 37/946, South Street Road, Fort, East Fort, Thiruvananthapuram)', 'Max (Rating: 4.1, Reviews: 3503, Address: 1st Floor, Qrs Square, 25, Mahatma Gandhi Road, Santhi Nagar, Pulimoodu, Thiruvananthapuram)', 'Ramachandran (Attakulangara) (Rating: 3.9, Reviews: 16234, Address: opp. Juma Masjid, Bypass Road, Attakulangara - Enchakkal Road, Killipalam, Thiruvananthapuram)']"
Southern,Kerala,Kozhikode,Kozhikode Beach,Beach,Unknown,1.5,3.9,0,Yes,Open All Days,Recreational,Yes,0.059,All,11.2626228,75.7673095,"['Keys Select by Lemon Tree Hotels, Malabar Gate (Rating: 3.9, Reviews: 1560, Address: 12/3875, Ram Mohan Road, Kozhikode)', 'Hotel King Fort (Rating: 3.9, Reviews: 1760, Address: Sunlight Tower, Kallai Road, Kozhikode)', 'Kovilakam Residency Pvt Ltd (Rating: 4.7, Reviews: 5119, Address: opposite to Aster, Mini Bypass, Near M.I.M.S Hospital, Kozhikode)']","['Nexstay Asma Tower (Rating: 4, Reviews: 2774, Address: opposite Kalyan Jwellers, Mavoor Road, Kozhikode)', 'Hotel Vasantha Bhavan (Rating: 3.7, Reviews: 340, Address: Near Suguna Watch, 7/892, Court Road, Mananchira, Kozhikode)', 'Hotel Amrutha (Rating: 3.5, Reviews: 686, Address: 7Q5Q+H5J, Near Moffusin Bus Stand, Indira Gandhi Road, Arayidathupalam, Kozhikode)']","['Art Gallery And Krishna Menon Museum (Rating: 4.2, Reviews: 821, Address: Kendriya Vidyalaya Road, Near Kendriya Vidyalaya, East Hill, Kozhikode)', 'Mishqal Mosque (Rating: 4.7, Reviews: 1227, Address: Mishkal Mosque, Bavootty haji Road, Kuttichira, Kozhikode)', 'Sree Valayanad Devi Temple (Rating: 4.8, Reviews: 3033, Address: 6RV3+GJR, Valayanad Temple Road, Govindapuram, Kozhikode)']","['City Corner (Rating: 3.8, Reviews: 153, Address: 7QFF+CX5, Kannur Road, West Nadakkave, Vandipetta, Kozhikode)', ""K.N. Chandappan And Son's (Rating: 4.1, Reviews: 10, Address: Bank Road, Near Foreign Bazaar, Kozhikode)"", 'Misbah Complex (Rating: 3.6, Reviews: 14, Address: opposite Begum Complex, U.K.S. Road, Bank Road, Behind Air India, Kozhikode)']"
